de	10234	1	10234
la	6412	2	12824
que	5552	3	16656
el	5199	4	20796
en	4340	5	21700
y	4235	6	25410
los	2963	7	20741
a	2953	8	23624
del	2257	9	20313
se	1884	10	18840
las	1832	11	20152
un	1815	12	21780
con	1494	13	19422
por	1456	14	20384
una	1396	15	20940
su	1291	16	20656
para	1258	17	21386
no	1232	18	22176
al	984	19	18696
es	911	20	18220
El	812	21	17052
ha	705	22	15510
como	696	23	16008
lo	652	24	15648
más	648	25	16200
La	510	26	13260
sus	493	27	13311
o	435	28	12180
pero	357	29	10353
hoy	348	30	10440
entre	315	31	9765
dos	306	32	9792
sobre	303	33	9999
En	301	34	10234
le	300	35	10500
años	291	36	10476
este	278	37	10286
han	271	38	10298
también	254	39	9906
fue	244	40	9760
si	227	41	9307
Los	226	42	9492
