de	23684	1	23684
la	15695	2	31390
que	12703	3	38109
i	11819	4	47276
el	9749	5	48745
a	9568	6	57408
l'	8892	7	62244
d'	6970	8	55760
del	5826	9	52434
en	5783	10	57830
per	5378	11	59158
un	5247	12	62964
les	5219	13	67847
va	5217	14	73038
ha	5114	15	76710
els	4207	16	67312
una	3895	17	66215
amb	3755	18	67590
es	3265	19	62035
al	2843	20	56860
no	2646	21	55566
El	2551	22	56122
dels	2445	23	56235
s'	2327	24	55848
és	2062	25	51550
La	1747	26	45422
més	1691	27	45657
van	1589	28	44492
han	1363	29	39527
aquest	1354	30	40620
hi	1202	31	37262
la_seva	1177	32	37664
L'	1124	33	37092
com	1055	34	35870
aquesta	1047	35	36645
ser	1009	36	36324
als	930	37	34410
també	864	38	32832
entre	862	39	33618
anys	833	40	33320
o	787	41	32267
Els	780	42	32760
